TIPO.CONVOCATORIA;AÑO;TOTAL.GENERALES;TOTAL.ESTRATEGICOS
CIC;2010;508;0
CIC;2011;526;0
CIC;2012;563;0
CIC;2013;571;106
CIC;2014;647;91
CIC;2015;708;99
CIC;2016;322;46
CIC;2017;300;317
CIC;2018;210;162
CIC;2019;429;172
CIC;2020;434;106
CIC;2021;446;116
CIC;2022;436;182
BECA DOCTORAL;2010;1209;0
BECA DOCTORAL;2011;1199;0
BECA DOCTORAL;2012;1101;89
BECA DOCTORAL;2013;1100;61
BECA DOCTORAL;2014;1355;106
BECA DOCTORAL;2015;1687;123
BECA DOCTORAL;2016;845;233
BECA DOCTORAL;2017;638;377
BECA DOCTORAL;2018;759;474
BECA DOCTORAL;2019;1105;378
BECA DOCTORAL;2020;1246;324
BECA DOCTORAL;2021;959;279
BECA DOCTORAL;2022;980;246
BECA DOCTORAL;2023;674;162
BECA DOCTORAL;2024;767;116
BECA POSDOC;2010;820;0
BECA POSDOC;2011;918;0
BECA POSDOC;2012;817;41
BECA POSDOC;2013;835;40
BECA POSDOC;2014;1211;67
BECA POSDOC;2015;1187;61
BECA POSDOC;2016;801;141
BECA POSDOC;2017;771;228
BECA POSDOC;2018;661;387
BECA POSDOC;2019;836;281
BECA POSDOC;2020;561;115
BECA POSDOC;2021;617;123
BECA POSDOC;2022;593;156
BECA POSDOC;2023;405;65
BECA POSDOC;2024;379;63
